	text	pos
0	ㄴ	[('ㄴ', 'JX')]
1	갠	[('개', 'NNB'), ('ㄴ', 'JX')]
2	갼	[('갸', 'NNG'), ('ㄴ', 'JX')]
3	걀	[('갸', 'NNG'), ('ㄹ', 'JKO')]
4	걘	[('걔', 'NP'), ('ㄴ', 'JX')]
5	걜	[('걔', 'NP'), ('ㄹ', 'JKO')]
6	겐	[('게', 'NNG'), ('ㄴ', 'JX')]
7	겔	[('게', 'NNG'), ('ㄹ', 'JKO')]
8	곈	[('계', 'NNG'), ('ㄴ', 'JX')]
9	곌	[('계', 'NNG'), ('ㄹ', 'JKO')]
10	괄	[('과', 'NNG'), ('ㄹ', 'JKO')]
11	괜	[('괘', 'NNG'), ('ㄴ', 'JX')]
12	괠	[('괘', 'NNG'), ('ㄹ', 'JKO')]
13	굔	[('교', 'NNG'), ('ㄴ', 'JX')]
14	굘	[('교', 'NNG'), ('ㄹ', 'JKO')]
15	궨	[('궤', 'NNG'), ('ㄴ', 'JX')]
16	궬	[('궤', 'NNG'), ('ㄹ', 'JKO')]
17	귄	[('귀', 'NNG'), ('ㄴ', 'JX')]
18	귈	[('귀', 'NNG'), ('ㄹ', 'JKO')]
19	근	[('그', 'NP'), ('ㄴ', 'JX')]
20	껄	[('꺼', 'NNB'), ('ㄹ', 'JKO')]
21	껜	[('께', 'XSN'), ('ㄴ', 'JX')]
22	껠	[('께', 'XSN'), ('ㄹ', 'JKO')]
23	껸	[('끼', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
24	껼	[('끼', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
25	꽌	[('꽈', 'NNG'), ('ㄴ', 'JX')]
26	꽐	[('꽈', 'NNG'), ('ㄹ', 'JKO')]
27	꽨	[('꽤', 'MAG'), ('ㄴ', 'JX')]
28	꽬	[('꽤', 'MAG'), ('ㄹ', 'JKO')]
29	꿘	[('꾸', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
30	꿜	[('꾸', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
31	냔	[('냐', 'NNG'), ('ㄴ', 'JX')]
32	냘	[('냐', 'NNG'), ('ㄹ', 'JKO')]
33	널	[('너', 'NP'), ('ㄹ', 'JKO')]
34	넨	[('네', 'NP'), ('ㄴ', 'JX')]
35	녈	[('녀', 'NNG'), ('ㄹ', 'JKO')]
36	녠	[('녜', 'NNG'), ('ㄴ', 'JX')]
37	녤	[('녜', 'NNG'), ('ㄹ', 'JKO')]
38	놘	[('놓', 'VV'), ('아', 'EC'), ('ㄴ', 'JX')]
39	놜	[('놓', 'VV'), ('아', 'EC'), ('ㄹ', 'JKO')]
40	뇐	[('뇌', 'NNG'), ('ㄴ', 'JX')]
41	뇔	[('뇌', 'NNG'), ('ㄹ', 'JKO')]
42	뇬	[('뇨', 'NNG'), ('ㄴ', 'JX')]
43	뇰	[('뇨', 'NNG'), ('ㄹ', 'JKO')]
44	뉸	[('뉴', 'NNG'), ('ㄴ', 'JX')]
45	뉼	[('뉴', 'NNG'), ('ㄹ', 'JKO')]
46	늰	[('늬', 'NP'), ('ㄴ', 'JX')]
47	늴	[('늬', 'NP'), ('ㄹ', 'JKO')]
48	닌	[('니', 'NP'), ('ㄴ', 'JX')]
49	덴	[('데', 'NNB'), ('ㄴ', 'JX')]
50	델	[('데', 'NNB'), ('ㄹ', 'JKO')]
51	됀	[('되', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
52	됄	[('되', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
53	둰	[('두', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
54	둴	[('두', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
55	뒨	[('뒤', 'NNG'), ('ㄴ', 'JX')]
56	뒬	[('뒤', 'NNG'), ('ㄹ', 'JKO')]
57	딜	[('디', 'NNG'), ('ㄹ', 'JKO')]
58	땐	[('때', 'NNG'), ('ㄴ', 'JX')]
59	땔	[('때', 'NNG'), ('ㄹ', 'JKO')]
60	똔	[('또', 'MAJ'), ('ㄴ', 'JX')]
61	똘	[('또', 'MAG'), ('ㄹ', 'JKO')]
62	뚠	[('뚜', 'MAG'), ('ㄴ', 'JX')]
63	뚤	[('뚜', 'MAG'), ('ㄹ', 'JKO')]
64	랜	[('래', 'NNG'), ('ㄴ', 'JX')]
65	랠	[('래', 'NNG'), ('ㄹ', 'JKO')]
66	랸	[('랴', 'EC'), ('ㄴ', 'JX')]
67	랼	[('랴', 'EC'), ('ㄹ', 'JKO')]
68	럴	[('러', 'NNP'), ('ㄹ', 'JKO')]
69	렌	[('레', 'NNP'), ('ㄴ', 'JX')]
70	렐	[('레', 'NNP'), ('ㄹ', 'JKO')]
71	련	[('려', 'EC'), ('ㄴ', 'JX')]
72	렬	[('려', 'EC'), ('ㄹ', 'JKO')]
73	룬	[('루', 'NNG'), ('ㄴ', 'JX')]
74	륀	[('뤼', 'NNP'), ('ㄴ', 'JX')]
75	륄	[('뤼', 'NNP'), ('ㄹ', 'JKO')]
76	른	[('르', 'NNG'), ('ㄴ', 'JX')]
77	를	[('를', 'JKO')]
78	묀	[('뫼', 'NNG'), ('ㄴ', 'JX')]
79	묄	[('뫼', 'NNG'), ('ㄹ', 'JKO')]
80	묜	[('묘', 'NNG'), ('ㄴ', 'JX')]
81	묠	[('묘', 'NNG'), ('ㄹ', 'JKO')]
82	뭔	[('뭐', 'NP'), ('ㄴ', 'JX')]
83	믄	[('므', 'NNP'), ('ㄴ', 'JX')]
84	봔	[('보', 'VV'), ('아', 'EC'), ('ㄴ', 'JX')]
85	봘	[('보', 'VV'), ('아', 'EC'), ('ㄹ', 'JKO')]
86	뻰	[('뻬', 'NNG'), ('ㄴ', 'JX')]
87	뻴	[('뻬', 'NNG'), ('ㄹ', 'JKO')]
88	뼌	[('뼈', 'NNG'), ('ㄴ', 'JX')]
89	뼐	[('뼈', 'NNG'), ('ㄹ', 'JKO')]
90	셜	[('시', 'VA'), ('어', 'EC'), ('ㄹ', 'JKO')]
91	쇈	[('쇄', 'NNG'), ('ㄴ', 'JX')]
92	쇌	[('쇄', 'NNG'), ('ㄹ', 'JKO')]
93	숀	[('쇼', 'NNG'), ('ㄴ', 'JX')]
94	숄	[('쇼', 'NNG'), ('ㄹ', 'JKO')]
95	슌	[('슈', 'EC'), ('ㄴ', 'JX')]
96	슐	[('슈', 'EC'), ('ㄹ', 'JKO')]
97	쏸	[('쏘', 'VV'), ('아', 'EC'), ('ㄴ', 'JX')]
98	쏼	[('쏘', 'VV'), ('아', 'EC'), ('ㄹ', 'JKO')]
99	쑌	[('쑈', 'NNG'), ('ㄴ', 'JX')]
100	쑐	[('쑈', 'NNG'), ('ㄹ', 'JKO')]
101	씬	[('씨', 'NNB'), ('ㄴ', 'JX')]
102	씰	[('씨', 'NNB'), ('ㄹ', 'JKO')]
103	얀	[('야', 'NNG'), ('ㄴ', 'JX')]
104	얄	[('야', 'NNG'), ('ㄹ', 'JKO')]
105	얜	[('얘', 'NP'), ('ㄴ', 'JX')]
106	얠	[('얘', 'NP'), ('ㄹ', 'JKO')]
107	에	[('에', 'JKB')]
108	옌	[('예', 'NNG'), ('ㄴ', 'JX')]
109	옐	[('예', 'NNG'), ('ㄹ', 'JKO')]
110	왠	[('왜', 'MAG'), ('ㄴ', 'JX')]
111	왤	[('왜', 'NNP'), ('ㄹ', 'JKO')]
112	욘	[('요', 'NNG'), ('ㄴ', 'JX')]
113	욜	[('요', 'NNG'), ('ㄹ', 'JKO')]
114	윈	[('위', 'NNG'), ('ㄴ', 'JX')]
115	윌	[('위', 'NNG'), ('ㄹ', 'JKO')]
116	읜	[('의', 'NNG'), ('ㄴ', 'JX')]
117	읠	[('의', 'NNG'), ('ㄹ', 'JKO')]
118	쟨	[('쟤', 'NP'), ('ㄴ', 'JX')]
119	쟬	[('쟤', 'NP'), ('ㄹ', 'JKO')]
120	젠	[('제', 'NP'), ('ㄴ', 'JX')]
121	젼	[('지', 'VX'), ('어', 'EC'), ('ㄴ', 'JX')]
122	졀	[('지', 'VX'), ('어', 'EC'), ('ㄹ', 'JKO')]
123	졘	[('졔', 'NNG'), ('ㄴ', 'JX')]
124	졜	[('졔', 'NNG'), ('ㄹ', 'JKO')]
125	좐	[('좌', 'NNG'), ('ㄴ', 'JX')]
126	좔	[('좌', 'NNG'), ('ㄹ', 'JKO')]
127	죨	[('죠', 'EC'), ('ㄹ', 'JKO')]
128	줜	[('주', 'VX'), ('어', 'EC'), ('ㄴ', 'JX')]
129	줠	[('주', 'VX'), ('어', 'EC'), ('ㄹ', 'JKO')]
130	쥰	[('쥬', 'NNG'), ('ㄴ', 'JX')]
131	쥴	[('쥬', 'NNG'), ('ㄹ', 'JKO')]
132	쪈	[('찌', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
133	쪌	[('찌', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
134	첸	[('체', 'NNB'), ('ㄴ', 'JX')]
135	첼	[('체', 'NNG'), ('ㄹ', 'JKO')]
136	쳔	[('치', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
137	쳘	[('치', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
138	촐	[('초', 'NNB'), ('ㄹ', 'JKO')]
139	쵠	[('최', 'NNP'), ('ㄴ', 'JX')]
140	쵤	[('최', 'NNP'), ('ㄹ', 'JKO')]
141	춴	[('추', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
